time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
15;0;0;4294967295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1015;0;1;3400;-92;92;-2903.121582;2.5;10;0.30;1773.494019;0;0.0;0.0;43;135;0;0.0;1.0;38;1.0
2011;0;1;3400;-94;94;-2892.431885;4.0;9.4;0.64;2832.000000;5;0.52;0.0;0.0;9592.000000;9;0.0;0.0;0.0;1.0
3005;0;1;3400;-94;94;-2889.943115;2.1;9.6;0.50;0.0;0.0;0.52;0.0;0.0;2191.235107;9;0.0;0.0;0.0;1.0
4004;0;1;3400;-94;94;-2890.640381;2.1;9.4;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;7;0.0;0.0;0.0;1.0
5003;0;1;3400;-94;94;-2891.454346;2.1;8.5;0.50;0.0;0.0;0.52;0.0;0.0;2191.235107;12;0.0;0.0;0.0;1.0
6002;0;1;3400;-94;94;-2896.782715;2.1;10;0.50;0.0;0.0;0.52;0.0;0.0;2197.802246;7;0.0;0.0;0.0;1.0
7001;0;1;3400;-94;94;-2902.372314;2.1;10;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;4;0.0;0.0;0.0;1.0
8000;0;1;3400;-95;95;-2909.008545;2.1;9.9;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;6;0.0;0.0;0.0;1.0
9000;0;1;3400;-95;95;-2910.692383;2.1;9.3;0.50;0.0;0.0;0.52;0.0;0.0;2193.419678;9;0.0;1.0;0.0;1.0
9999;0;1;3400;-95;95;-2916.787842;2.1;9.0;0.50;0.0;0.0;0.52;0.0;0.0;2197.802246;7;0.0;1.0;0.0;1.0
10998;0;1;3400;-95;95;-2922.439209;2.1;8.5;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;15;0.0;0.0;0.0;1.0
11997;0;1;3400;-95;95;-2930.465820;2.1;8.3;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;12;0.0;0.0;0.0;1.0
12996;0;1;3400;-95;95;-2940.327148;2.1;9.5;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;17;0.0;0.0;0.0;1.0
13995;0;1;3400;-95;95;-2943.908936;2.1;9.1;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;11;0.0;0.0;0.0;1.0
14994;0;1;3400;-95;95;-2949.253906;4.7;8.5;0.50;0.0;100.000000;0.52;0.0;0.0;2195.608887;15;0.0;0.0;0.0;1.0
15993;0;1;3400;-95;95;-2952.490723;15;9.1;0.50;0.0;0.0;0.52;0.0;0.0;2193.419678;24;0.0;0.0;0.0;1.0
16992;0;1;3400;-95;95;-2954.874512;15;8.5;0.50;0.0;0.0;0.52;0.0;0.0;2197.802246;15;0.0;1.0;1.0;1.0
17991;0;1;3400;-95;95;-2956.274658;15;9.4;0.50;0.0;0.0;0.52;0.0;0.0;2193.419678;14;0.0;0.0;0.0;1.0
18990;0;1;3400;-95;95;-2960.301758;15;9.2;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;15;0.0;0.0;0.0;1.0
19989;0;1;3400;-95;95;-2962.945068;15;9.2;0.50;0.0;0.0;0.52;0.0;0.0;2195.608887;6;0.0;0.0;0.0;1.0
20989;0;1;3400;-95;95;-2963.199707;12;7.9;1.0;0.0;100.000000;0.52;0.0;0.0;2195.608887;22;0.0;0.0;0.0;1.0
21986;0;1;3400;-95;95;-2965.704834;7.7;7.6;2.1;0.0;0.0;0.52;0.0;0.0;2197.802246;7;0.0;0.0;0.0;1.0
22985;0;1;3400;-95;95;-2971.188477;7.7;8.5;2.1;0.0;0.0;0.52;0.0;0.0;2193.419678;15;0.0;0.0;0.0;1.0
23984;0;1;3400;-95;95;-2978.409668;7.8;9.0;2.1;0.0;0.0;0.52;0.0;0.0;2193.419678;18;0.0;1.0;0.0;1.0
24983;0;1;3400;-95;95;-2978.731201;7.8;9.0;2.1;0.0;0.0;0.52;0.0;0.0;2195.608887;19;0.0;0.0;0.0;1.0
25982;0;1;3400;-95;95;-2974.951172;7.7;8.5;2.1;0.0;0.0;0.52;0.0;0.0;2195.608887;19;0.0;0.0;0.0;1.0
26981;0;1;3400;-95;95;-2973.493896;7.7;8.6;2.1;0.0;0.0;0.52;0.0;0.0;2195.608887;25;0.0;0.0;0.0;1.0
27980;0;1;3400;-95;95;-2970.993896;7.7;8.4;2.1;0.0;0.0;0.52;0.0;0.0;2197.802246;18;0.0;0.0;0.0;1.0
28979;0;1;3400;-95;95;-2973.693359;7.7;8.5;2.1;0.0;0.0;0.52;0.0;0.0;2195.608887;17;0.0;0.0;0.0;1.0
29979;0;1;3400;-95;95;-2972.816895;7.8;8.2;2.1;0.0;0.0;0.52;0.0;0.0;2193.419678;18;0.0;0.0;0.0;1.0
30976;0;1;3400;-95;95;-2973.978271;7.7;7.9;2.1;0.0;0.0;0.52;0.0;0.0;2195.608887;19;0.0;0.0;0.0;1.0
31975;0;1;3400;-95;95;-2969.750244;7.8;8.8;2.1;0.0;0.0;0.52;0.0;0.0;2193.419678;17;0.0;0.0;0.0;1.0
32974;0;1;3400;-95;95;-2966.151855;7.7;8.7;2.1;0.0;0.0;0.52;0.0;0.0;2195.608887;19;0.0;0.0;0.0;1.0
33973;0;1;3400;-95;95;-2960.264648;7.7;8.8;2.1;0.0;0.0;0.52;0.0;0.0;2197.802246;14;0.0;0.0;0.0;1.0
