time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
15;0;0;4294967295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1015;0;1;3400;-89;89;3869.801270;1.0;6.8;0.54;1159.705200;33;0.0;0.0;0.0;138;62;0.0;3.0;10;0.0
2014;0;1;3400;-89;89;3876.526123;1.0;7.6;0.50;0.0;0.0;0.52;0.0;0.0;112;67;0.0;0.0;0.0;0.0
3012;0;1;3400;-89;89;3874.931152;1.0;9.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4011;0;1;3400;-89;89;3879.037109;1.0;8.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5010;0;1;3400;-88;88;3872.676270;1.0;4.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6009;0;1;3400;-88;88;3869.297363;1.3;5.0;0.58;472;0;0.52;0.0;0.0;56;75;0.0;2.0;1.0;0.0
7008;0;1;3400;-89;89;3855.169678;1.0;8.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8007;0;1;3400;-89;89;3852.402832;1.0;6.9;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9006;0;1;3400;-89;89;3855.532471;1.0;6.6;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005;0;1;3400;-89;89;3864.387695;1.5;6.7;0.53;472;0;0.52;0.0;0.0;168;68;0.0;2.0;0.0;0.0
11004;0;1;3400;-89;89;3846.513428;1.0;6.4;0.50;0.0;0.0;1.6;0.0;0.0;56;67;0.0;0.0;0.0;0.0
12003;0;1;3400;-89;89;3837.685547;1.0;7.0;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13002;0;1;3400;-89;89;3837.581055;1.0;5.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14001;0;1;3400;-89;89;3837.405762;1.2;6.7;0.50;472;0;0.52;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
15000;0;1;3400;-89;89;3831.820068;1.2;6.5;0.51;0.0;0.0;0.0;0.0;0.0;168;71;0.0;0.0;0.0;0.0
15999;0;1;3400;-89;89;3826.355713;1.0;9.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
