time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
16,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,1,3400,-96,96,1048.288696,0.84,5.1,0.21,344,0,0,0,0,0,0,0,0,0,0
2014,0,1,3400,-96,96,925,2.6,5.2,0.9,3899.899902,9,0,0,0,6894.89502,10,0,6,50,1
3012,0,1,3400,-96,96,917,0.18,4.9,0.5,0,0,1.6,0,0,2288,0,0,0,0,1
4011,0,1,3400,-95,95,923,0.19,5,0.5,0,0,1.6,0,0,2200,4,0,2,0,1
5011,0,1,3400,-96,96,921,0.23,5.3,0.5,0,0,1.6,0,0,2202.202148,0,0,0,0,1
6009,0,1,3400,-96,96,919,0.21,5,0.5,0,0,1.6,0,0,2200,0,0,0,0,1
7007,0,1,3400,-95,95,914,0.19,5.2,0.5,0,0,1.6,0,0,2107.784424,0,0,1,0,1
8006,0,1,3400,-95,95,911,0.2,5.1,0.5,0,0,1.6,0,0,2202.202148,2,0,1,0,1
9005,0,1,3400,-95,95,906,0.21,5.3,0.5,0,0,1.6,0,0,2200,0,0,1,0,1
10001,0,1,3400,-95,95,902,0.23,4.8,0.5,0,0,1.6,1.5,0,2720,4,0,1,0,1
11000,0,1,3400,-96,96,903,0.21,5.1,0.5,0,0,1.6,0,0,2202.202148,2,0,2,0,1
11996,0,1,3400,-95,95,897,0.24,5.3,0.5,0,0,1.6,0,0,2021.978027,6,0,0,0,1
12993,0,1,3400,-96,96,892,0.21,4.9,0.5,0,0,1.6,0,0,2021.978027,2,0,1,0,1
13992,0,1,3400,-96,96,904,0.21,4.5,0.5,0,0,1.6,0,0,2202.202148,4,0,1,0,1
14991,0,1,3400,-95,95,879,0.23,3.9,0.5,0,0,1.6,0,0,2200,2,0,1,0,1
