time;cc;pci;earfcn;rsrp;pl;cfo;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
999;0;1;3400;-94;94;2979.269531;1.3;6.4;0.86;1137.349365;0;0.0;0.0;0.0;135;56;0.0;0.0;1.0;0.0
1998;0;1;3400;-94;94;3092.280029;0.94;7.4;0.47;0.0;0.0;1.6;0.0;0.0;56;78;0.0;1.0;0.0;0.0
2997;0;1;3400;-94;94;3098.540283;0.94;6.9;0.47;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3996;0;1;3400;-94;94;3099.017334;0.94;6.6;0.47;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4995;0;1;3400;-94;94;3099.214844;0.94;6.8;0.47;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5994;0;1;3400;-94;94;3095.106201;1.0;7.1;0.45;472;0;1.6;0.0;0.0;224;67;0.0;0.0;0.0;0.0
6993;0;1;3400;-94;94;3091.588135;0.94;7.2;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7992;0;1;3400;-95;95;3087.845459;0.94;7.4;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8991;0;1;3400;-94;94;3084.275879;0.94;5.5;0.47;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9990;0;1;3400;-94;94;3101.245117;1.3;6.5;0.62;472;33;0.52;0.0;0.0;56;77;0.0;0.0;0.0;0.0
10989;0;1;3400;-95;95;3075.362793;0.94;8.2;0.47;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11988;0;1;3400;-95;95;3071.316162;0.94;8.3;0.47;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12987;0;1;3400;-95;95;3069.622070;0.94;6.3;0.47;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13986;0;1;3400;-95;95;3070.914062;1.1;6.7;0.47;472;0;1.6;0.0;0.0;0.0;76;0.0;0.0;1.0;0.0
14984;0;1;3400;-95;95;3065.437744;1.0;7.6;0.50;0.0;0.0;1.6;0.0;0.0;56;76;0.0;0.0;0.0;0.0
15983;0;1;3400;-94;94;3063.837402;1.0;9.2;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16982;0;1;3400;-94;94;3062.196533;1.0;7.5;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17981;0;1;3400;-93;93;3093.199219;1.0;6.4;0.50;144;0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18977;0;1;3400;-93;93;3062.363770;1.1;7.0;0.52;327;0;1.6;0.0;0.0;112;72;0.0;1.0;0.0;0.0
19976;0;1;3400;-93;93;3064.238281;1.0;6.6;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20975;0;1;3400;-93;93;3066.399902;1.0;6.7;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21974;0;1;3400;-93;93;3061.950684;1.0;8.5;0.50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22973;0;1;3400;-93;93;3071.519043;1.7;7.7;0.50;472;0;0.0;0.0;0.0;112;74;0.0;2.0;2.0;0.0
23972;0;1;3400;-93;93;3065.742188;1.0;7.3;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24971;0;1;3400;-93;93;3061.109375;1.0;6.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25970;0;1;3400;-93;93;3064.433105;1.0;6.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26969;0;1;3400;-93;93;3047.778564;1.5;5.9;0.51;472;0;0.52;0.0;0.0;56;74;0.0;0.0;0.0;0.0
27968;0;1;3400;-92;92;3056.173340;1.0;5.0;0.85;0.0;0.0;0.0;0.0;0.0;112;62;0.0;1.0;0.0;0.0
28967;0;1;3400;-93;93;3052.656494;1.0;6.1;0.73;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29966;0;1;3400;-93;93;3054.202881;1.0;6.4;0.73;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30965;0;1;3400;-93;93;3050.662109;1.1;6.2;0.74;144;0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31964;0;1;3400;-93;93;3056.524414;1.2;6.7;0.55;328;0;1.6;0.0;0.0;168;67;0.0;0.0;1.0;0.0
32963;0;1;3400;-93;93;3051.967041;1.0;6.5;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33962;0;1;3400;-93;93;3053.880371;1.0;6.8;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34961;0;1;3400;-93;93;3053.988037;1.0;6.7;0.50;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35960;0;1;3400;-93;93;3071.904785;1.3;6.5;0.52;474;0;0.52;0.0;0.0;169;69;0.0;2.0;0.0;0.0
36959;0;1;3400;-93;93;3054.623291;1.0;6.1;0.50;0.0;0.0;1.6;0.0;0.0;0.0;100.000000;0.0;0.0;0.0;0.0
37958;0;1;3400;-93;93;3049.574707;1.0;6.7;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38957;0;1;3400;-93;93;3048.582764;1.0;6.7;0.50;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
